AppId,No_of_eng_reviews
air.com.desjardins.ecorush,0
air.com.desjardins.streetspin,0
air.com.noodlecake.trialsOfGlork,12
andrew.arproductions.healthlog,204
arproductions.andrew.headachelog,238
br.com.tapps.cookbookmaster,9858
br.com.tapps.donotdisturb2,4937
br.com.tapps.epicbandclicker,555
br.com.tapps.epicpartyclicker,6106
br.com.tapps.forestfolks.homedesign,2608
br.com.tapps.forestfolks.petspa,2359
br.com.tapps.kittycatclicker2,3787
br.com.tapps.minequest,1824
br.com.tapps.minequest2,6329
br.com.tapps.myboo,66918
br.com.tapps.myderp,3832
br.com.tapps.myicecreammaker,3374
br.com.tapps.myicecreamtruck,5335
br.com.tapps.myvirtualpetshop,23891
ca.cbc,625
com.adobe.lrmobile,51614
com.adobe.photoshopmix,11030
com.adobe.psmobile,96510
com.adobe.reader,81776
com.adobe.reader.intune,593
com.aim.racinggt,10604
com.aim.racingmgt,3010
com.aim.racingturbo,1998
com.aim.racingtype,1067
com.antivirus,4941
com.apalon.ringtones,1710
com.apalon.wallpapers,1050
com.appcom.imotohr,0
com.appcom.imotohrhd,0
com.appmind.radios.jp,542
com.appmind.radios.my,1054
com.appmind.radios.ng,330
com.appmind.radios.nl,117
com.appmind.radios.sg,1730
com.appmind.radios.tw,65
com.appmind.radios.za,2639
com.appsomniacs.da2,500805
com.appxy.famcal,1549
com.appxy.tinycalendar,755
com.baklabs.ambulance.simulator,2036
com.baklabs.atv.desert,756
com.baklabs.atv.stunt,21
com.baklabs.bus.simulator,5087
com.baklabs.construction.truck,391
com.baklabs.delivery.game,780
com.baklabs.farm,92
com.baklabs.fire.simulator,686
com.baklabs.JungleRescue,247
com.baklabs.lumberjack,56
com.baklabs.motocross.stunt,93
com.baklabs.mountain.racer,33
com.baklabs.offroad4x4,197
com.baklabs.taxi.simulator.plus,114
com.baklabs.taxi.simulator.speed,486
com.baklabs.taxi4x4,17
com.baklabs.tractor,28
com.baklabs.tractor.farm,1140
com.baklabs.truck,7
com.baklabs.winter4x4uaz,35
com.bigfishgames.doriangraygoogfree,711
com.bigfishgames.doriangraygoogfull,1307
