App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRmZjYXN2NkJadFQyM1FKZWpmTEhReHlNREdqdXk4UDUxUVI0WWJvRWYxMk53VTVKSktNZzdHdTVrUGw4T2U1c04taWhCblFYNGZNbWpJSFE,Spanish,,1,2019-06-07,crishtian israel flores reyes,"",CUIDADO NO INSTALES ESTA APP ES Un robo total me lo cobraron y no me deja abrirlo CUIDADO APP FRAUDE!!!!!!,,,negative,,Spanish,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259756893/reply,"[""Dissatisfied users"", ""Privacy""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPSFdYUWxnWkhNc2dNQmFvSlMteGF2Y1ZfVmktakctSTJ0RFVOUTh0bzVIZl9sa0FhT2k1U2NJMmhDZDRpQk84Ukhxek5KcHZjaFA5WV8zV3c,English,,1,2019-02-19,Russ Grimmett,"","Game will not open, immediately crashes. Pixel 2.",,,negative,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259742963/reply,"[""Bugs""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRVJuMHVyQTRLdVNscUlWako3dXhCamV5RXBiRHlQZGxlYk1VdlJaNmRPQ2RISUlYWVI3T0JSNHBZTEZVcXJuVDJQN3MxcFJ2T3p3TWZENGc,English,,3,2019-02-16,RJP MWTK,"","I like the game, but please update the app. Its current version does not support Android 9.",,,negative,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743000/reply,"[""Feature Requests"", ""Gaming""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPSG43cW1reXBmbWVMa3RKOWowVDVUYkZXRV9kSzF2Y290SkVicXJ0eFNoWE81UUxGWEFxYmhqc21OSEZsbDZxV21LMnBJNUotTVY1VkhqOXc,Portuguese,,5,2018-05-18,marcos wilian,"",Realmente viciante,,,positive,,Portuguese,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259754483/reply,"[""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRklEV0ZWOXczZ3JmMWJkTk1TWHFaNXo1LWx2T3Y5Tm5mTkNSb0RwX2hNNnpkMC1ieTMwTFhOdEM1SmlGRTN4bDNUY0ttRTRJaXhJUEx3V0E,English,,4,2018-01-17,N.R. Dickson,"","Love the game. I never get tired of playing it. However, I'd give it five stars if Android would get the update  that Apple got last year. Would love to have the new aliens and especially the flame thrower. Please update it for the rest of us. Great game.",,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743080/reply,"[""Feature Requests"", ""Gaming""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRTd5RnFyeHNxcTAyWlhBTENRWWY1T3lRT1I4b3loYS1BRFFoN1JEWGtZTEJhYmZwcU1Mbm40Q2xGSlBRTUZmV01WT18zeVBfMVNHaFE0b2c,Italian,,5,2017-11-20,Un utente Google,"",VORREI DARE PIU' STELLE,,,neutral,,Italian,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259745936/reply,"[""Feature Requests""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPSDVLb1dCSDhsMVdiSS1vM2VWdUx5QmtYbldzMEllbm5PVjBGYlVoWFJTM185YTFtSVlPNjB2cWthbWNfZmR1RUZtdWxHMzB2RUw3Zm9GckE,English,,5,2016-08-06,Adam Whobrey,Kochalka for Life,This made my day.,,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743197/reply,[],[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPSEhBX1BvM0RNcUNvY01OZWl3Z3p6d3kzZWl6NHYwRkd1V2hmbW1iSVcwYnVtVTlhSUxkTVhRTXdURlFoRnJwSmNtaUJzaGN2RlphRTFzaGc,English,,5,2016-02-15,A Google User,Klassic Kochalka,"Fantastic goofy way to kill time. The power ups never get old, and the challenges are just inane enough to keep you on your toes. Best played while listening to James Kochalka Superstar, of course.",,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743214/reply,"[""Audio"", ""Gaming"", ""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPSHNXdDZKcXhDRkt4SFFZcTY5STgySXNtemE3aWpma2pDcDlfYjBBWWVYY3FhMFNZRXpfVS1JN255M05Ic1VxOG9Zazkxb1RuNTdqSFZVa0E,English,,5,2015-09-26,A Google User,Kochalka quality!!!!,This game is out of sight!!! Super addicting and totally rad artwork and game play!!! Essential.,,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743240/reply,"[""Gaming"", ""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPR3hJNmc2bmNmV2g4czk0Q3F2eGZTYlo4Q0lRYjlObk9jVjVYMjR3c3FYaW5Lc3NTT0Y3RlFQZzUzV19tZERZaE9xaEFrcXpzbXRjQjRYZ2c,English,,5,2015-05-12,A Google User,Cool game,"Runs poorly on my Nexus 10, which is OK cuz most new games are running slow on this old thing. Pixeljam + Kochalka = Amazing",,,mixed,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743269/reply,"[""Performance"", ""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRnlOeXZlMXFZNDZEYlpHX3lnZFE2aDl3ZnZOUTMwXzJhMzZYaklxVHpsVFRYSlNyUk9UeUJVdHFnaDgwUzYtaWc5TC1zZE9nUzJTRzc0dEE,English,,5,2015-04-01,A Google User,dope,galaga style. smooth play,,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743345/reply,"[""Performance""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRTJwMWRJdjEwRWtiSXB5Q2NoeUc4NS1SM0stNjI3dzFXUktTOVhtcWJTeV92NUxTRXNGVVE1U3g4eGJSZ1AwWkdxZHNOWVBzbU5sSHRHWVE,Japanese,,4,2015-04-01,Googleユーザー,チャーミングでPOP,チャーミングでPOPなデザインと、ギャラガのようなゲームスタイルで、魅力ある作品。チマチマと敵を潰していく楽しさと、敵の弾丸を避ける楽しさがある。残念な点は、火力不足となることが多い。ギャラガ独自の、敵を上手く倒すテクニックを磨くゲームスタンスは感じられないところ。パワーアップアイテムのコンボが成り立てば、スコアを稼げるが、運ゲーと化しているところが見受けられる。,,,neutral,,Japanese,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743945/reply,[],[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRXM5bEo2dmZqX0xvU3lvWUktQlF6Q3NaYUxaSFJvVVhBcms0TTFRSHBJdy1vckRrSWFweDR3WXJXd2xhTWVsY2VQY2xOd0NTU1p6TVhFcVE,English,,5,2015-03-28,A Google User,A total romp,"Great gameplay, solid controls, a great shoot-and-collect flow and lots of weapons and powerups, no in app purchases or ads, fun sound and graphics. Perfect arcade game!",,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743364/reply,"[""Advertising"", ""Audio"", ""Design & UX"", ""Pricing"", ""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRWxKcHVMazJEYUpLYkRmUjNZYmNvczZRTnhuYjVubUxaV1VQN0tJSHltdWw4MWFtTThXbjJCZkdlNVJtM1RPSm8wUTFLdjB6TTBJbFFuQ0E,Polish,,5,2015-03-27,Użytkownik Google,Ściągać!,Bardzo fajna gierka.,,,positive,,Polish,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259753609/reply,[],[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRjJOSEUxalU1c0I0bFdhejZKX2hLZkYzYUlMZUJDdTU0X3hUblNmNmt6alZFbkFaMXRrbWxwNDNBWFUtb3hUWExYeTlkV21kdlA5TzFxZ0E,English,,5,2015-03-20,A Google User,Galaga Reboot,"If you're played Galaga (which is like Space Invaders) then you know the general gameplay. The aesthetics are nice and fun, and the game is entertaining.",,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743381/reply,"[""Gaming"", ""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRWlTZGEzREVnVWVRN2lfQUVVckJ4T3ZhMlZJcHNPT2FudmdGV2ZzSW0wQWViQTRvVEE0YzdUa09EZFJfM1d5RlV6Q3l5MmgxcktRUXRNVEE,English,,4,2015-03-17,A Google User,So far...,So far so good lol I like the design gameplay is fun too make it whole screen for Nexus 6 and I'll give star,,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743393/reply,"[""Design & UX"", ""Feature Requests"", ""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRmZIZWh3QjNZbkhHSU04dllQQzF3ekZVaUFCbEVPRHgxU2pHbjJyYTV4bU9WbXNJcGJmX2VjZFZSd1ZMOTNWUzZMZ0lrdmZCY0lxWkpQTUE,Russian,,5,2015-03-14,Пользователь Google,Отлично!,"Думал, что в таком жанре ничего нового придумать нельзя. Оказалось можно. Игра сделана отлично . Прикольная графика и сам персонаж. Придраться не к чему.",,,positive,,Russian,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259755678/reply,"[""Design & UX"", ""Gaming"", ""Satisfied users""]",[],[]
Glorkian Warrior,Google Play,air.com.noodlecake.trialsOfGlork,Z3A6QU9xcFRPRVZZbkJvMFJyRnRTR2FQSDZ4bTIybW5JVk1yc0w1NG16QmMteTVUenB3NGNBaUpQeEVXTVZGMzZnXzBjdG9MTlROTUpTYm1fQmdWbzdyREE,English,,5,2015-03-13,A Google User,NOODLECAKE,I love all your guys games I've been with you guys for a while and I think you guys are the best game creators ever.Love the game also.,,,positive,,English,,https://app.appbot.co/apps/1654359-glorkian-warrior/reviews/1259743440/reply,"[""Gaming"", ""Satisfied users""]",[],[]
